time,workload,reward,category,action,,,,,,
,,,,,,, - option 0: 77.8125 *,,,
,,,,,,, - option 1: 362.3333333333333333333,,,
,,,,,,, - option 2: 1348.0,,,
,,,,,,, - option 3: 1201.0,,,
,,,,,,,testing 'workloads/client_var_med_img.txt',,,
,,,,,,,"scores (lower is better, * is best):",,,
,,,,,,, - option 0: 2.90625 *,,,
,,,,,,, - option 1: 10.4583333333333333333,,,
,,,,,,, - option 2: 44.5789473684210526315,,,
,,,,,,, - option 3: 50.2222222222222222222,,,
